Date,AAFD,None,SAESCR,SPPAO,Other,UOIW,VOCR,Total,UA,ACCFRA
20160905,0,0,0,0,8,2,0,12,2,0
20160813,0,0,0,1,0,4,0,17,12,0
20160708,0,0,0,0,0,0,1,5,4,0
20160929,0,0,0,0,10,1,0,12,1,0
20161130,0,0,0,0,0,0,0,2,2,0
20160814,0,0,0,0,0,1,0,5,4,0
20160222,0,0,0,0,0,0,0,4,0,4
20161108,0,0,0,0,2,1,0,3,0,0
20160229,0,0,0,0,0,0,0,14,0,14
20160815,0,0,2,0,0,2,0,8,4,0
20161122,0,0,0,1,12,1,1,20,5,0
20160122,0,0,0,0,0,0,0,17,0,17
20160901,0,0,0,0,0,0,0,2,1,1
20161128,0,0,0,0,0,1,1,8,5,1
20160211,0,0,0,0,0,0,0,7,0,7
20160917,0,0,0,0,0,0,0,1,0,1
20161120,0,0,0,1,5,6,0,14,2,0
20160129,0,0,0,0,0,2,0,6,0,4
20160422,0,0,0,0,0,0,0,1,0,1
20160125,0,0,0,0,0,0,0,4,0,4
20161029,0,0,0,1,0,0,0,1,0,0
20161203,0,0,0,0,0,0,0,1,1,0
20161013,0,0,0,0,0,0,0,5,4,1
20160220,0,0,0,0,0,1,0,12,0,11
20160926,0,0,0,0,9,4,0,20,5,2
20160209,0,0,0,0,0,0,0,18,0,18
20160704,0,0,0,0,0,1,0,2,0,1
20161113,0,0,0,1,18,1,0,22,2,0
20160214,0,0,0,0,0,2,0,19,0,17
20160225,0,0,0,0,0,0,0,8,0,8
20160907,0,0,0,0,8,1,0,13,3,1
20160721,0,0,0,0,0,1,0,20,19,0
20160115,0,0,0,0,0,0,0,5,0,5
20161016,0,0,0,0,0,1,0,12,11,0
20161224,0,0,0,0,0,0,0,5,2,3
20160705,0,0,0,0,2,1,0,3,0,0
20160902,0,0,0,0,2,1,0,3,0,0
20161216,6,0,0,0,0,1,0,8,1,0
20160106,0,0,0,0,0,0,0,4,0,4
20161116,0,0,0,0,26,1,0,45,17,1
20160822,0,0,0,0,0,3,0,9,6,0
20161024,0,1,0,0,0,0,0,3,1,1
20160925,0,0,0,0,20,11,1,40,8,0
20160102,0,0,0,0,0,0,0,3,0,3
20160805,0,0,0,3,0,2,0,12,7,0
20160725,0,1,0,2,4,2,2,27,15,1
20160629,0,0,0,0,0,3,0,3,0,0
20161009,0,0,0,0,0,1,0,4,3,0
20160630,0,0,0,0,0,1,0,1,0,0
20160227,0,0,0,0,0,0,0,11,0,11
20161008,0,0,0,0,0,1,0,3,2,0
20161102,0,0,0,0,9,0,0,9,0,0
20161022,0,1,0,0,0,1,0,2,0,0
20161103,0,0,0,0,6,0,0,7,1,0
20161003,0,0,0,5,0,3,0,9,1,0
20160702,0,0,0,0,2,2,0,5,1,0
20160714,0,0,0,1,1,2,0,15,11,0
20161201,0,0,0,0,0,0,0,1,1,0
20160603,0,0,0,0,0,2,0,3,1,0
20160224,0,0,0,0,0,0,0,6,0,6
20160802,0,0,1,1,0,5,0,16,9,0
20160210,0,0,0,0,0,0,0,10,0,10
20160712,0,0,0,0,0,0,0,4,3,1
20160126,0,0,0,0,0,0,0,1,0,1
20160602,0,0,0,0,0,2,0,2,0,0
20160302,0,0,0,0,0,0,0,2,0,2
20160618,0,3,0,0,0,1,0,4,0,0
20160810,0,0,0,5,0,9,0,18,4,0
20161028,0,0,0,0,0,0,0,4,4,0
20160310,0,0,0,0,0,0,0,1,0,1
20160720,0,0,0,1,0,0,0,6,5,0
20160827,0,0,0,0,0,9,0,17,8,0
20160723,0,0,0,0,6,1,0,23,16,0
20160607,0,1,0,0,0,3,0,4,0,0
20161014,0,0,0,2,0,0,0,15,13,0
20161104,0,0,0,0,8,1,0,12,2,1
20160202,0,0,0,0,0,0,0,9,0,9
20161217,2,0,0,1,0,2,0,6,1,0
20161228,1,0,1,1,0,0,0,4,1,0
20160301,0,0,0,0,0,0,0,8,0,8
20161030,0,0,0,0,0,1,0,3,1,1
20160110,0,0,0,0,0,0,0,8,0,8
20160909,0,0,0,0,1,1,0,3,0,1
20161106,0,0,0,0,8,1,0,10,1,0
20160719,0,0,0,0,5,0,0,7,1,1
20161031,0,0,0,0,0,0,0,2,2,0
20161012,0,0,0,0,0,0,0,13,12,1
20160206,0,0,0,0,0,0,0,3,0,3
20161020,0,0,0,0,1,0,0,6,5,0
20160829,0,0,1,0,0,2,0,6,3,0
20160203,0,0,0,0,0,2,0,9,0,7
20160615,0,0,0,1,0,0,0,1,0,0
20160120,0,0,0,0,0,0,0,7,0,7
20161220,2,0,1,0,0,0,0,3,0,0
20160305,0,0,0,0,0,0,0,1,0,1
20160916,0,0,0,0,4,0,1,6,0,1
20160906,0,2,0,0,4,13,0,25,1,5
20160826,0,0,1,0,0,9,0,14,4,0
20160130,0,0,0,0,0,0,0,19,0,19
20160605,0,0,0,0,0,6,0,6,0,0
20160121,0,0,0,0,0,0,0,10,0,10
20160205,0,0,0,0,0,1,0,14,0,13
20160208,0,0,0,0,0,0,0,11,0,11
20160111,0,0,0,0,0,0,0,12,0,12
20160804,0,0,0,6,0,0,0,9,3,0
20161002,0,0,1,1,0,8,0,17,6,1
20161010,0,0,0,0,1,6,0,11,4,0
20160903,0,0,0,0,0,2,0,3,1,0
20160912,0,0,0,0,5,0,0,7,2,0
20160628,0,0,0,0,0,2,0,2,0,0
20160703,0,0,0,0,1,0,0,2,1,0
20161219,2,0,0,0,0,0,0,2,0,0
20160103,0,0,0,0,0,0,0,2,0,2
20160922,0,0,0,3,8,2,0,15,1,1
20160930,0,0,0,0,4,4,0,12,4,0
20160921,0,0,0,1,10,3,0,25,11,0
20160529,0,0,0,0,0,2,0,3,1,0
20161004,0,0,1,3,0,1,0,11,6,0
20161210,0,0,0,0,0,1,0,1,0,0
20161019,0,0,1,0,0,0,0,3,2,0
20161018,0,0,0,0,2,1,0,7,3,1
20161026,0,0,0,0,0,0,0,3,3,0
20160806,1,0,0,1,0,1,0,7,4,0
20161214,0,0,0,0,0,0,0,1,1,0
20161208,0,0,0,1,0,0,0,1,0,0
20160809,0,0,0,0,0,3,0,11,8,0
20161126,0,0,0,2,0,1,1,13,7,2
20160221,0,0,0,0,0,1,0,8,0,7
20160107,0,0,0,0,0,0,0,1,0,1
20161119,0,0,0,3,31,0,0,47,13,0
20160928,0,1,0,0,6,0,0,12,5,0
20161023,0,0,1,0,0,1,0,5,2,1
20160116,0,0,0,0,0,0,0,4,0,4
20160428,0,0,0,1,0,0,0,2,1,0
20161121,0,1,0,0,15,0,0,23,7,0
20160218,0,0,0,0,0,3,0,11,0,8
20160911,0,0,0,0,4,1,0,12,6,1
20160818,0,0,0,2,0,1,0,9,6,0
20161223,0,0,0,0,0,1,0,1,0,0
20160801,0,0,0,3,0,1,0,7,3,0
20160808,0,0,0,0,0,1,0,5,4,0
20161123,0,0,0,0,12,3,0,17,2,0
20161107,0,0,0,0,7,1,0,8,0,0
20161021,0,0,0,0,1,1,0,2,0,0
20161112,0,0,0,0,0,2,0,2,0,0
20160731,0,0,0,1,2,0,0,7,3,1
20160816,0,0,1,0,0,7,0,19,11,0
20160306,0,0,0,0,0,0,0,11,0,11
20161129,0,0,0,0,0,0,0,5,5,0
20160713,0,0,0,0,1,0,0,4,3,0
20160109,0,0,0,0,0,0,0,5,0,5
20161111,0,0,0,0,3,2,0,5,0,0
20160718,0,0,0,1,0,0,0,11,10,0
20160119,0,0,0,0,0,0,0,1,0,1
20161110,0,0,0,0,4,2,0,6,0,0
20160711,0,0,0,0,0,1,6,16,6,3
20161006,0,0,0,0,0,1,0,9,8,0
20161212,0,0,0,0,0,0,0,1,0,1
20160610,0,0,0,0,0,2,0,2,0,0
20160811,0,0,0,1,0,3,0,5,1,0
20160830,0,0,0,0,0,5,0,11,5,1
20160621,0,1,0,0,0,2,0,3,0,0
20160727,0,0,0,0,3,0,0,7,3,1
20160819,0,0,0,2,0,3,0,10,5,0
20160311,0,0,0,0,0,0,0,3,0,3
20160807,0,0,1,0,0,1,0,5,3,0
20161206,0,0,0,1,0,0,0,3,2,0
20160828,0,0,1,0,0,0,0,4,3,0
20160825,0,0,0,0,0,15,0,17,2,0
20160228,0,0,0,0,0,0,0,16,0,16
20160728,0,0,0,0,1,0,0,1,0,0
20160219,0,0,0,0,0,0,0,7,0,7
20160626,0,0,0,0,0,1,0,1,0,0
20160831,0,0,0,0,0,1,0,3,2,0
20160526,0,1,0,0,0,2,0,3,0,0
20160919,0,0,0,5,0,1,0,7,1,0
20161117,0,0,0,0,29,0,0,42,13,0
20161124,0,0,0,0,0,3,1,20,14,2
20160117,0,0,0,0,0,0,0,10,0,10
20160528,0,0,0,0,0,1,0,2,1,0
20160709,0,0,0,1,3,4,0,22,14,0
20160904,0,0,0,0,4,0,1,8,1,2
20160915,0,0,0,0,0,0,0,1,1,0
20161115,0,0,0,7,22,0,0,34,5,0
20160527,0,1,0,0,0,4,0,6,0,1
20160112,0,0,0,0,0,0,0,15,0,15
20161027,2,0,1,0,0,0,0,7,4,0
20160729,0,0,0,0,4,0,0,6,1,1
20160212,0,0,0,0,0,0,0,12,0,12
20160215,0,0,0,0,0,0,0,38,0,38
20160821,0,0,1,1,0,5,0,16,9,0
20160201,0,0,0,0,0,0,0,7,0,7
20160127,0,0,0,0,0,0,0,10,0,10
20160913,0,0,0,0,0,0,0,1,0,1
20160627,0,0,0,0,0,1,0,1,0,0
20160207,0,0,0,0,0,0,0,6,0,6
20160623,0,0,0,0,0,2,0,2,0,0
20160104,0,0,0,0,0,0,0,3,0,3
20160216,0,0,0,0,0,1,0,8,0,7
20160313,0,0,0,0,0,0,0,3,0,3
20161118,0,0,0,2,25,7,0,49,15,0
20161005,0,0,0,0,0,0,0,4,4,0
20160923,0,0,0,2,19,2,1,34,7,3
20161211,0,0,0,0,0,1,0,1,0,0
20161230,0,0,1,0,0,0,0,3,1,1
20160123,0,0,0,0,0,0,0,1,0,1
20161205,0,0,0,0,0,0,0,3,3,0
20161105,0,0,0,0,11,0,0,11,0,0
20161114,0,0,0,6,9,1,0,16,0,0
20160124,0,0,0,0,0,0,0,3,0,3
20160817,0,0,0,2,0,1,0,9,6,0
20161011,0,0,1,0,0,0,0,18,17,0
20161025,0,0,0,0,0,0,0,5,4,1
20160910,0,0,0,0,19,0,1,37,10,7
20160217,0,0,0,0,0,0,0,14,0,14
20160927,0,0,0,0,11,0,0,22,11,0
20160710,0,0,0,0,0,3,0,10,6,1
20160918,0,0,0,0,1,0,0,2,0,1
20160309,0,0,0,0,0,0,0,4,0,4
20160601,0,0,0,0,0,1,0,1,0,0
20161017,0,1,0,1,0,0,2,31,25,2
20160820,0,0,0,0,0,6,0,13,7,0
20161007,0,0,1,0,0,0,0,5,4,0
20160617,0,1,0,0,0,1,0,2,0,0
20160108,0,0,0,0,0,0,0,6,0,6
20160722,0,0,0,0,3,0,0,4,1,0
20160226,0,0,0,0,0,0,0,25,0,25
20160427,0,0,0,1,0,0,0,1,0,0
20160701,0,0,0,0,3,1,0,5,1,0
20160113,0,0,0,0,0,0,0,9,0,9
20160717,0,0,0,1,0,1,0,12,10,0
20160213,0,0,0,0,0,0,0,3,0,3
20160803,1,0,0,3,0,1,0,14,9,0
20160606,0,0,0,0,0,2,0,2,0,0
20160303,0,0,0,0,0,0,0,1,0,1
20160924,0,1,0,0,26,4,0,38,5,2
20161109,0,1,0,0,5,1,0,7,0,0
20160812,0,0,0,1,0,8,0,16,7,0
20160716,0,0,0,3,1,1,1,20,14,0
20160730,0,0,0,0,9,0,0,10,0,1
20161127,0,0,0,0,0,6,0,20,13,1
20160715,0,0,0,2,5,0,0,7,0,0
20160920,0,0,0,11,10,0,0,25,4,0
20160823,0,0,0,0,0,2,0,5,3,0
20160530,0,0,0,0,0,1,0,1,0,0
20160525,0,0,0,0,0,2,0,2,0,0
20160706,0,0,0,0,5,0,0,5,0,0
20160726,0,2,0,1,2,2,0,15,6,2
20161101,0,0,0,0,2,0,0,3,1,0
20161001,0,0,0,5,0,9,0,15,1,0
20161125,0,0,0,0,0,4,0,24,17,3
20160204,0,0,0,0,0,1,0,19,0,18
20160724,0,0,0,2,2,0,0,12,8,0
20160128,0,0,0,0,0,0,0,6,0,6
20161015,0,0,0,1,0,1,0,6,4,0
20161227,0,0,0,0,0,0,0,2,2,0
20160625,0,0,0,0,0,1,0,1,0,0
20160131,0,0,0,0,0,0,0,3,0,3
20160824,0,0,0,0,0,0,0,5,5,0
20160707,0,0,0,0,2,1,0,3,0,0
20160908,0,0,0,0,5,1,0,6,0,0
20160624,0,0,0,0,0,1,0,1,0,0
20161215,1,0,0,0,0,0,0,4,3,0
20160312,0,0,0,0,0,0,0,4,0,4
